,_id,food_name,Ingredients_used,Nutritional Information,Cooking Methods,Preparation Time,Aroma,Taste,Taste_food,Texture,Quality Ratings,Consumer Reviews,Storage Conditions,Packaging,Cuisine Type,Geographical Origin,Restaurant_name
0,64abedf6ab00ec26f52b271e,pizza,"Cheese,Pizza Dough,Tomato,Mozarella,Pizza Sauce",Calories:266 ,deep-fried,8-15 minutes,Good,Spicy,Good,"Chewy,Crispy",Good,Good,"Temparature:40 degrees F,Humidity: 70.5%",Good,Italian,Campania_region,Trattoria Marcella
1,64abee12ab00ec26f52b271f,Hamburger,"Cheese,Onion,Tomato,Ham,Garam Masala Powder",Calories:295 ,deep-fried,6-7 minutes,Good,Spicy,Good,"Chewy,Crispy",Good,moderate,"Temparature:160 degrees F,Humidity: 57.49%",Good,United States,German city Hamburg,Zur Quelle Dortmund
2,64abee12ab00ec26f52b2720,Roti,"Flour,Whole Wheat flour,salt",Calories:297 ,deep-fried,20-25 minutes,Best,mild with little taste,Good,"smooth,flat texture",Best,Good,"Temparature:168 degrees F,Humidity: 25.46%",Best,Punjabi,Indus Valley civilization,Subbu Restaurant
3,64abee12ab00ec26f52b2721,Mutton Biryani,"Rice,Chicken,Garam Masala,Ghee",Calories:642 ,shallow-fried,40 minutes,Poor,"savory,spiced",Poor,melt-in-our-mouth texture,Poor,Poor,"Temparature:350 degree F,Humidity: 70%",Bad,Indian,Mughals,House of Rice And Grills
4,64abee12ab00ec26f52b2722,Chicken Manchurian Full,"Chicken,red chili powder,soya sauce",Calories:221 ,shallow-fried,21-25 minutes,Good,"spicy,sweet",Poor,crispy texture ,Poor,moderate,"Temparature:375 degrees F,Humidity: 50%",Good,Chinese,northeast China,Zu ki Restaurant
5,64abee12ab00ec26f52b2723,Paneer Butter Masala,"Paneer,cashews,butter",Calories:635 ,deep-fried,40 minutes,Good,"sweetness,slight tang",Good,spicy texture ,Best,Best,"Temparature:464 degree F,Humidity: 58.6%",Good,Indian,"Moti Mahal restaurant,Delhi",Kumar Mess
6,64abee12ab00ec26f52b2724,Mushroom Masala,"Mushroom,ginger,butter",Calories:123 ,shallow-fried,30 minutes,Good,spicy gravy,Good,spicy texture ,Good,Poor,"Temparature:400 degrees F ,Humidity: 65.6%",Good,Punjabi and Pakistani,North-Western cooking,Punjabi Dhaba
7,64abee12ab00ec26f52b2725,Veg Fried Rice,"Vegetables,rice,soya sauce",Calories:163 ,deep-fried,30 minutes,Poor,"spicy,sour",Poor,spicy texture ,Poor,moderate,"Temparature: 212 degrees F ,Humidity: 78.6%",Good,China,"East Asian,Southeast Asian ",Riyaz Mahal
8,64abee12ab00ec26f52b2726,Tomato soup,"Vegetables,Tomato,red chilli powder",Calories:30 ,Boil,25 minutes,Good,"spicy,hot",Good,smooth in texture ,Poor,Good,"Temparature: 162 degrees F ,Humidity: 92%",Bad,Spanish,"Andalucía,southern Spain ",Andhra Curry
9,64abee12ab00ec26f52b2727,Plain dosa,"Dal,Vigna mungo,Maida",Calories:168 ,shallow-fried,10 minutes,Best,"slight tangy taste,savory",Good,"thin crispy,soft texture ",Good,Best,"Temparature: 295 degrees F ,Humidity: 20%",Good,Indian,"Madurai,India ",Konar kadai
10,64abee12ab00ec26f52b2728,Red Velvet Pastry,"white sugar,eggs,red food coloring",Calories:589 ,shallow-fried,120 minutes,Good,"mild cocoa,slightly tart edge",Best,"smooth, soft,tender texture ",Best,Best,"Temparature: 350 degrees F ,Humidity: 50%",Good,American,"New York City,Waldorf-Astoria Hotel ",Puppy's Bakery
